date,closing_price,starting_price,high_price,low_price,trans_thd,trans_vol_mil,mkt_cap_mil
2008/10/20,1207.63,1195.90,1211.09,1149.39,373015,5674673,613068936
2008/10/21,1196.10,1223.75,1232.73,1181.88,389190,4763303,607423140
2008/10/22,1134.59,1190.50,1195.28,1095.56,374866,5250110,576364087
2008/10/23,1049.71,1089.57,1089.57,1028.50,401512,5361378,533588134
2008/10/24,938.75,1051.58,1051.92,925.57,443157,5459814,477323772
2008/10/27,946.45,937.18,966.41,892.16,540708,5871936,481183231
2008/10/28,999.16,916.85,1012.73,901.49,649429,6296119,507841856
2008/10/29,968.97,1047.48,1078.33,920.35,763398,8290018,492925488
2008/10/30,1084.72,1036.83,1094.89,992.89,621628,7404484,551937616
2008/10/31,1113.06,1083.14,1158.66,1061.46,864750,9147277,566438074
2008/11/03,1129.08,1117.13,1158.87,1109.32,568247,7181994,574510849
2008/11/04,1153.35,1135.53,1154.45,1114.41,603573,6798275,586688635
2008/11/05,1181.50,1184.92,1217.82,1159.67,790191,7965854,600742674
2008/11/06,1092.22,1133.78,1140.85,1081.79,657626,5363601,555819652
2008/11/07,1134.49,1054.35,1134.50,1038.72,846308,6929645,577271038
2008/11/10,1152.46,1152.26,1165.57,1124.13,717484,7372464,585579198
2008/11/11,1128.73,1133.34,1160.30,1114.50,600726,5831800,573530673
2008/11/12,1123.86,1103.88,1143.18,1096.63,605657,5051821,571044100
2008/11/13,1088.44,1074.75,1088.46,1040.34,566759,5351352,553416774
2008/11/14,1088.26,1126.94,1129.40,1078.44,440486,5068481,552945921
2008/11/17,1078.32,1074.33,1104.66,1050.40,413383,4846331,547801136
2008/11/18,1036.16,1053.29,1075.68,1036.10,377420,4134786,526682685
2008/11/19,1016.82,1038.74,1038.74,994.57,404607,4218378,516910707
2008/11/20,948.69,967.46,984.51,947.44,424070,3956358,482685318
2008/11/21,1003.73,929.74,1013.12,914.02,602106,5092689,510550163
2008/11/24,970.14,996.23,1014.49,969.49,464191,4778959,493488334
2008/11/25,983.32,1016.09,1029.46,966.28,486154,5425508,500054958
2008/11/26,1029.78,993.07,1030.70,993.07,515467,5155322,523345453
2008/11/27,1063.48,1058.63,1070.67,1046.46,563630,5976241,541176043
2008/11/28,1076.07,1066.84,1084.03,1061.52,555247,5186234,554122786
2008/12/01,1058.62,1074.00,1083.01,1058.62,627338,4672824,544318157
2008/12/02,1023.20,1007.71,1038.41,1007.26,421112,4093920,526172571
2008/12/03,1022.67,1038.41,1038.41,1013.56,478715,5310410,525758966
2008/12/04,1006.54,1042.16,1042.16,997.00,402238,4449877,517646154
2008/12/05,1028.13,1017.48,1032.68,1008.30,401605,3668501,528405266
2008/12/08,1105.05,1041.41,1111.27,1037.64,541793,6520366,567560093
2008/12/09,1105.84,1116.09,1120.66,1092.49,486456,6063058,568129053
2008/12/10,1145.87,1112.44,1155.08,1105.71,562092,7535486,588603906
2008/12/11,1154.43,1145.06,1166.27,1135.50,576700,8145576,592682316
2008/12/12,1103.82,1128.66,1152.99,1089.94,622304,6749653,567048014
2008/12/15,1158.19,1152.25,1164.72,1138.42,485362,5850073,594662636
2008/12/16,1161.56,1148.68,1165.29,1137.05,626697,6818527,596015612
2008/12/17,1169.75,1190.09,1196.37,1146.04,647793,6577860,600304132
2008/12/18,1175.91,1183.38,1189.83,1164.60,557762,5904836,603339608
2008/12/19,1180.97,1174.24,1194.52,1171.38,685025,5401355,606239201
2008/12/22,1179.61,1189.85,1201.14,1167.63,450639,5341409,605689080
2008/12/23,1144.31,1168.15,1175.32,1140.13,436408,4108318,587671844
2008/12/24,1128.51,1140.08,1143.68,1113.17,407845,3508788,579635401
2008/12/26,1117.86,1128.54,1134.57,1108.86,345549,3078267,574506026
2008/12/29,1117.59,1109.40,1118.35,1084.26,312516,2615495,573728866
2008/12/30,1124.47,1124.60,1144.24,1121.32,357926,3269662,576927703
2009/01/02,1157.40,1132.87,1157.40,1118.84,340781,4043268,593882523
2009/01/05,1173.57,1180.98,1185.22,1166.66,414760,5288645,602269376
2009/01/06,1194.28,1183.52,1203.59,1179.94,444195,5608839,613219054
2009/01/07,1228.17,1198.85,1228.56,1195.20,568556,7650757,630963325
2009/01/08,1205.70,1212.70,1218.43,1195.15,472344,5826335,619192681
2009/01/09,1180.96,1214.50,1220.59,1179.06,443544,5328417,607077647
2009/01/12,1156.75,1170.69,1177.19,1150.41,352671,3896401,594756224
2009/01/13,1167.71,1147.99,1168.04,1133.94,381507,4102261,600286827
2009/01/14,1182.68,1161.01,1184.52,1151.80,358877,3963837,607773013
2009/01/15,1111.34,1138.47,1145.41,1108.15,366485,4568785,571130855
2009/01/16,1135.20,1120.69,1135.79,1109.69,335688,4084346,583504825
2009/01/19,1150.65,1146.09,1159.88,1141.31,370319,4507861,591248957
2009/01/20,1126.81,1136.16,1136.48,1115.07,319533,3804185,579115460
2009/01/21,1103.61,1087.43,1118.40,1085.72,334556,4144997,567301601
2009/01/22,1116.23,1125.22,1127.35,1106.74,346827,4281504,573621674
2009/01/23,1093.40,1105.43,1105.43,1087.66,268189,3558499,561837803
2009/01/28,1157.98,1123.23,1160.19,1122.33,345266,4604520,595224021
2009/01/29,1166.56,1165.82,1179.15,1160.75,384745,4871009,599683086
2009/01/30,1162.11,1147.57,1163.76,1144.52,377035,3974972,598142080
2009/02/02,1146.95,1145.87,1170.70,1136.37,374571,4478153,590116782
2009/02/03,1163.20,1152.94,1174.28,1137.83,347703,4408618,598590879
2009/02/04,1195.37,1183.22,1195.52,1176.10,450221,5760536,615203195
2009/02/05,1177.88,1187.05,1206.73,1177.88,463562,5337966,606291154
2009/02/06,1210.26,1199.17,1210.26,1190.67,570791,5772618,623072452
2009/02/09,1202.69,1224.44,1227.73,1199.93,475950,4954661,619062965
2009/02/10,1198.87,1215.05,1219.76,1186.33,468812,4152908,617118862
2009/02/11,1190.18,1168.42,1193.55,1162.57,469846,4308986,612739950
2009/02/12,1179.84,1183.68,1187.35,1162.58,488111,4855674,607616858
2009/02/13,1192.44,1179.63,1192.48,1165.25,574846,4228208,613900971
2009/02/16,1175.47,1183.52,1199.50,1174.73,509492,4165140,605336624
2009/02/17,1127.19,1167.22,1167.22,1121.41,546440,4734825,580213796
2009/02/18,1113.19,1111.35,1120.65,1096.00,598230,4681169,573150765
2009/02/19,1107.10,1109.99,1121.27,1092.96,641511,4667949,570020768
2009/02/20,1065.95,1095.25,1102.44,1056.34,587441,4146131,548645215
2009/02/23,1099.55,1058.54,1099.55,1051.52,396062,3870962,565954478
2009/02/24,1063.88,1061.56,1071.93,1055.86,576296,3891797,547671702
2009/02/25,1067.08,1094.70,1095.73,1061.60,735368,4146945,549273990
2009/02/26,1054.79,1077.71,1100.45,1036.67,575093,4141636,543090954
2009/02/27,1063.03,1056.71,1076.81,1048.05,498309,3595999,547085652
2009/03/02,1018.81,1044.28,1044.28,1010.87,413949,3359586,524500873
2009/03/03,1025.57,993.85,1029.18,992.69,543382,3647543,528117151
2009/03/04,1059.26,1018.90,1062.69,1008.67,490794,4215485,545366081
2009/03/05,1058.18,1068.25,1074.56,1050.90,509907,4497847,544991652
2009/03/06,1055.03,1036.29,1059.33,1036.29,465731,3507220,543579926
2009/03/09,1071.73,1068.98,1077.13,1052.41,457911,3449749,552232690
2009/03/10,1092.20,1060.61,1096.59,1060.61,614109,4886460,562577075
2009/03/11,1127.51,1122.91,1127.88,1118.12,574391,5655537,580653558
2009/03/12,1128.39,1126.60,1132.30,1107.60,536881,7180129,581016566
2009/03/13,1126.03,1137.35,1147.83,1124.71,506177,5465240,580074111
2009/03/16,1125.46,1126.09,1142.58,1119.33,436009,4429944,579734299
2009/03/17,1163.88,1140.32,1166.60,1132.75,726953,5807736,599156031
2009/03/18,1169.95,1176.86,1176.86,1157.11,520429,5049229,602282676
2009/03/19,1161.81,1180.39,1186.91,1158.19,532576,5122645,598135590
2009/03/20,1170.94,1165.03,1180.38,1163.59,374671,4228855,603001747
2009/03/23,1199.50,1179.60,1201.23,1179.13,461576,4749377,617589970
2009/03/24,1221.70,1225.94,1225.94,1205.08,512524,5895005,629021226
2009/03/25,1229.02,1216.29,1229.02,1211.20,495051,5114728,632819890
2009/03/26,1243.80,1226.51,1243.97,1216.49,588056,5897684,640525330
2009/03/27,1237.51,1248.70,1256.70,1233.95,702348,7025605,637876221
2009/03/30,1197.46,1239.80,1244.78,1196.32,527830,4901679,619273159
2009/03/31,1206.26,1205.98,1228.21,1203.16,503563,5211784,623523108
2009/04/01,1233.36,1214.06,1238.04,1201.71,586124,6460702,637377934
2009/04/02,1276.97,1254.38,1278.56,1249.94,732211,7980881,659821161
2009/04/03,1283.75,1288.56,1292.60,1274.45,618671,7761773,663177177
2009/04/06,1297.85,1292.42,1315.30,1292.42,726431,7850149,670385285
2009/04/07,1300.10,1296.32,1304.28,1282.41,686776,6607437,671446591
2009/04/08,1262.07,1284.98,1287.59,1260.73,751440,6719459,651852846
2009/04/09,1316.35,1274.03,1317.29,1272.02,933678,9150022,679860869
2009/04/10,1336.04,1340.87,1355.69,1319.52,920397,9064786,690036979
2009/04/13,1338.26,1341.74,1353.27,1328.99,815422,8236609,690984339
2009/04/14,1342.63,1353.25,1356.31,1323.64,933384,8325877,693265286
2009/04/15,1333.09,1321.60,1341.32,1305.16,815702,8221371,688611544
2009/04/16,1336.72,1356.88,1371.28,1334.65,746709,8912086,690554426
2009/04/17,1329.00,1354.93,1360.90,1316.11,794016,8205060,686964029
2009/04/20,1336.39,1331.76,1338.90,1311.73,566858,5944084,693640412
2009/04/21,1336.81,1307.95,1338.48,1303.22,639591,6520603,693998572
2009/04/22,1356.02,1347.79,1360.41,1336.41,730163,8595046,704177932
2009/04/23,1368.80,1367.30,1371.95,1353.16,747017,8867660,710880982
2009/04/24,1354.10,1371.81,1375.80,1343.55,683433,8143320,702971682
